Genes,Interactors,Norm_Symbol
CD247,"['LCK', 'JAK3', 'UNC119', 'CD3E', 'ZAP70', 'CD38', 'CSK', 'DOCK2']",CD247
SPTB,['SPTAN1'],SPTB
DCTN2,"['CAPZA2', 'DCTN3', 'DCTN5', 'DCTN1', 'HAUS1', 'DCTN6', 'ACTR1B', 'GADD45A', 'DYNC1H1', 'BICD2', 'DCTN4', 'EMILIN1', 'MAPRE1', 'ACTR1A', 'ACTR10', 'MARCKSL1', 'POLR2A', 'CAPZB']",DCTN2
ANGPT1,"['TEK', 'MAPK8IP2']",ANGPT1
CCNK,"['ATXN1', 'RBPMS', 'CDK12', 'CDK9']",CCNK
LDLR,"['HSPA5', 'SNX17', 'LRPAP1', 'MYLIP', 'DAB1']",LDLR
TNFSF14,"['TRAF3', 'TNFRSF6B', 'BIRC2', 'TRAF2', 'TNFRSF14']",TNFSF14
EPB42,['SPINK7'],EPB42
KLHL42,"['CUL3', 'UBE2M', 'UBQLN1', 'COPS6']",KLHL42
DENND4A,"['YWHAB', 'YWHAE']",DENND4A
PPP4C,"['CCT8', 'DHX38', 'PPP2R2D', 'PPP2CB', 'TCP1', 'REL', 'CCT6A', 'TRAF6', 'PPP4R1', 'TRIM28', 'BAG6', 'SMEK2', 'PPP4R4', 'PPP2R2B', 'CCT2', 'IGBP1', 'CCT7', 'PPP2R5D', 'CCT5', 'HDAC3', 'PPP4R2', 'IKBKG', 'CCDC6', 'TIPRL', 'MAP4K1', 'RNGTT', 'CCT3', 'CCT4', 'PPP2R1A', 'SMEK1']",PPP4C
CLUH,"['DCAF4L2', 'RPGRIP1L']",CLUH
USP1,"['WDR48', 'PHLPP2', 'ATAD5', 'RAD51AP1', 'PCNA', 'FZR1', 'CAPNS1', 'UBC', 'KPNA1', 'FANCD2', 'PHLPP1']",USP1
MCC,"['GTF2E2', 'PTPN3', 'CSNK1E']",MCC
WARS,"['LIG4', 'TRIM25', 'EHD1']",WARS
AGT,"['ACE2', 'ACE', 'REN']",AGT
AMOTL2,"['RNF146', 'YAP1', 'KRT20', 'KRT15', 'LATS2', 'NF2', 'TNKS2', 'USP9X', 'DYNLL1', 'MPP5', 'AMOT', 'AMOTL2', 'PSMC3', 'ZGPAT']",AMOTL2
ARFGEF1,"['NUP62', 'FKBP2', 'NCL', 'ARFGEF2']",ARFGEF1
MT1G,['SPINK7'],MT1G
MS4A3,['CDKN3'],MS4A3
SHANK1,"['ARHGEF7', 'SHARPIN', 'DNM2', 'BAIAP2', 'SHANK1', 'SPTAN1', 'SSTR2']",SHANK1
BTG4,['RNF19B'],BTG4
HYI,['TEX11'],HYI
SERPINI2,['UBQLN1'],SERPINI2
LDHC,['LIG4'],LDHC
LIN28A,"['PHAX', 'MIR363', 'RBM34', 'MIRLET7A1', 'BRIX1', 'NCBP1', 'TSR1', 'HP1BP3', 'KRR1']",LIN28A
NDEL1,"['PKP2', 'YWHAE', 'NDE1', 'MBIP', 'PAFAH1B1', 'CEP135', 'TACC3', 'DYNC1H1', 'CCSER2', 'DIXDC1', 'DYNC1I1', 'IMMT', 'CENPF', 'CCSER1', 'KATNB1', 'TRIM27', 'CCHCR1', 'KATNA1', 'CDK5', 'DISC1']",NDEL1
FBXO7,"['PSMB5', 'HNRNPK', 'PSMB2', 'BIRC2', 'UBE2D3', 'UBE2M', 'PSMC5', 'TOMM20', 'GSK3B', 'COPS6', 'PSMA6', 'RPL6', 'PSMB4', 'PINK1', 'FBXO7', 'HSPD1', 'CUL1', 'PSMA3', 'ATP5C1', 'RPS15A', 'CDC34', 'UBE2D2', 'DNAJA3', 'PSMA2', 'RPS2', 'PSME3', 'MAGED1', 'PSMB3', 'PSME1', 'RBX1', 'COPS5', 'PRMT1', 'PSMB1', 'PSMB6', 'FBXW2', 'PARK2', 'TRAF2', 'PSMF1', 'SKP1']",FBXO7
DBT,"['HDAC6', 'DLD', 'ACAD9', 'PPM1K']",DBT
EPHX2,['EPHX2'],EPHX2
C16orf87,['HDAC1'],C16orf87
RHOQ,"['WASL', 'TRIP10', 'PARD6B', 'CDC42EP2', 'CDC42EP3', 'EXOC7', 'GOPC']",RHOQ
ATXN1L,"['NCOR2', 'PRRC2A', 'RBPMS', 'AES', 'CTBP2', 'USP54', 'ATXN1', 'ELP5']",ATXN1L
PPP2R2C,"['CCT8', 'SERTAD4', 'TCP1', 'PPP2CB', 'CCT6A', 'CDCA4', 'PPP2R2B', 'BAG2', 'CCT2', 'IER5', 'DNAJA1', 'PPP2CA', 'CCT7', 'CCT5', 'SIK2', 'PPP2R1B', 'TUFM', 'CCT3', 'CCT4', 'ACLY', 'CCT6B', 'PPP2R1A']",PPP2R2C
AP3B1,"['AP3M1', 'AP3D1', 'SEPT7', 'AP3S2', 'AP3S1']",AP3B1
ARNT2,"['TRAF4', 'MAGED1', 'SIM2', 'HIF1A', 'EPAS1']",ARNT2
COPS4,"['FBXO17', 'TOR1A', 'CUL2', 'IKBKB', 'UBE2M', 'CUL4A', 'COPS7B', 'DDB2', 'COPS6', 'HEMGN', 'C19orf57', 'DTL', 'NEDD8', 'DDB1', 'CRBN', 'ERCC8', 'COPS8', 'CUL4B', 'CUL1', 'COPS7A', 'USHBP1', 'COPS3', 'BTBD1', 'CUL3', 'COPS5', 'GPS1', 'VPRBP', 'DCAF11', 'PTPN14', 'COPS2']",COPS4
TPP1,"['CTC1', 'TERT', 'POT1', 'OBFC1', 'TINF2']",TPP1
PRR13,"['KLHL12', 'SDCBP2']",PRR13
HSPA14,['DNAJC2'],HSPA14
TNIP3,"['UBC', 'TNFAIP3']",TNIP3
PPARD,"['NCOR2', 'RXRA', 'NCOR1', 'RXRG', 'NCOA1', 'HDAC2', 'HDAC3', 'HDAC1', 'KDM1A', 'HSP90AA1', 'RXRB', 'NCOA3', 'EP300']",PPARD
ZCCHC11,"['TIFA', 'MIRLET7A1']",ZCCHC11
FOXR1,"['MRGBP', 'DMAP1', 'TRRAP', 'KAT5', 'MBTD1', 'YEATS4', 'ING3', 'EPC2', 'MEAF6', 'BRD8', 'MYC', 'EP400', 'EPC1']",FOXR1
ZNRF2,"['UBE2N', 'MTOR', 'ATP1A2', 'ZNRF1', 'PPP6C', 'YWHAQ']",ZNRF2
SNF8,"['ELL', 'VPS36', 'RBP1', 'YWHAE', 'CHMP6', 'VPS25', 'PRMT6', 'MCM2', 'KDM1A', 'SNF8', 'TSG101']",SNF8
DYDC2,['NME5'],DYDC2
NUDCD1,"['ARCN1', 'COPB1', 'COPE', 'COPG2', 'FUOM', 'DHX38', 'DHX15', 'COPZ1', 'COPG1', 'GBA', 'DHX33', 'DNHD1', 'VWA8', 'DHX40', 'COPB2', 'SLC34A2', 'DHX8', 'ERBB4', 'COPA', 'DHX16']",NUDCD1
IPO11,"['EGFR', 'RAN', 'NXF1', 'UBE2E1', 'UBE2E3']",IPO11
OLFM3,['MYOC'],OLFM3
UBA7,['ISG15'],UBA7
FKBP3,"['BARD1', 'NEDD4L', 'YY1', 'MDM2']",FKBP3
NFE2,"['CREBBP', 'NFE2', 'ITCH', 'YAP1']",NFE2
UBE2T,"['UBA1', 'UBE2T', 'SRA1', 'UBC', 'FANCL']",UBE2T
RMI2,"['HERC2', 'RMI1', 'BLM', 'FANCM']",RMI2
NRBF2,"['PIK3C3', 'ATG14', 'BECN1']",NRBF2
EDNRB,['CAV1'],EDNRB
RPGRIP1L,"['CD2AP', 'TBXA2R', 'RPGR', 'CAPZA2', 'NEK4', 'NXF1', 'ECT2', 'TRIM37', 'OFD1', 'NPHP1', 'NPHP4', 'RAI14', 'CSPP1', 'GKAP1', 'CCP110', 'SH3KBP1', 'PCM1', 'CEP192', 'CEP170', 'CLUH', 'KIAA0753', 'IPO7', 'MPRIP']",RPGRIP1L
NCK2,"['HNRNPK', 'PDGFRB', 'WASL', 'ABI1', 'CD3E', 'PTK2', 'LRRIQ3', 'SF3B4', 'LIMS1', 'NCKIPSD', 'TRIP6', 'EFNB1', 'EGFR', 'MEOX2', 'RASSF7', 'CPSF7', 'SYNPO', 'ABI2', 'LCP2', 'CBL', 'PAK1', 'UBC', 'TRIM15', 'CBLB', 'DOK1', 'NTRK2', 'LZTS2', 'PIK3AP1', 'WAS', 'WIPF2']",NCK2
ATR,"['ATR', 'ATRIP', 'BLM', 'CDKN2C', 'RPA1', 'XPA', 'BRCA1', 'ABL1', 'CDC6', 'XPC', 'HDAC2', 'TP53', 'CHEK1', 'ATM', 'FANCD2', 'TELO2', 'EP300', 'RAD17', 'RPA2', 'TTI1', 'CHEK2', 'WRN', 'HELQ', 'ETV1', 'MTA1', 'CHD4', 'RHEB', 'NBN', 'CEP164', 'XRCC5', 'H2AFX', 'MSH2']",ATR
ZC3HAV1,"['TRIM25', 'NCL']",ZC3HAV1
CSDE1,['STRAP'],CSDE1
PABPC4,"['HNRNPA1', 'PHLDA1', 'G3BP1', 'UBC', 'SRPK2', 'SOD1', 'YWHAQ', 'LUC7L2']",PABPC4
NDUFB6,['NDUFS3'],NDUFB6
MRPS31,"['MRPS35', 'MRPS9', 'STAT3', 'MRPS23', 'DAP3', 'PTCD3', 'MRPS7']",MRPS31
JMJD1C,"['PPARG', 'RNF8', 'AR']",JMJD1C
CIT,"['RHOB', 'RHOA']",CIT
RHOF,['ANKFY1'],RHOF
MYO5C,"['CAPZA2', 'TMOD3', 'TMOD1', 'CAPZA1']",MYO5C
CCDC77,"['PCM1', 'CEP135']",CCDC77
FAF1,"['NLRP3', 'YTHDF1', 'VCP', 'CUL2', 'IKBKB', 'RELA', 'HSPA4', 'CTNNB1', 'NR3C2', 'IPO5', 'XIAP', 'NLRX1', 'UFD1L', 'UBR1', 'CASP8', 'CUL1', 'NPLOC4', 'RAE1', 'CUL3', 'FAS', 'FADD', 'UBC', 'RPN2', 'VAPA', 'VAPB', 'ASNA1', 'PARK2', 'CD40', 'SKP1', 'FBXW11']",FAF1
CKAP5,"['TACC2', 'TACC3', 'SLAIN2', 'SNW1', 'TACC1']",CKAP5
NUP160,"['NUP43', 'NUP153', 'AHCTF1', 'NUP85', 'SEC13', 'NUP107', 'SEH1L']",NUP160
TMEM189,"['HGS', 'UBE2N']",TMEM189
EHF,"['XRCC6', 'XRCC5']",EHF
MLIP,['LMNA'],MLIP
BCR,"['CRKL', 'ERCC3', 'FES', 'SOS1', 'CRK', 'TSG101', 'ABL1', 'PTPN6', 'ERBB2IP', 'TP53', 'PIK3CG', 'MLLT4', 'CBL', 'HSP90AA1', 'UBC', 'HSPA8', 'CSNK2A2', 'DOK1', 'GRB2', 'HCK', 'KIT', 'AP2M1']",BCR
PSMB9,"['PSMB5', 'PSMB2', 'PSMB4', 'NCOA2', 'POMP', 'PSMA2', 'NCOA3', 'PSME2', 'PSMA7', 'PSMA4', 'PSMC5', 'PSME1', 'PSMA1', 'PSMC1', 'PSMA6', 'PSMB8', 'SRC', 'PSMA3', 'PSMB7']",PSMB9
HSPA8,"['HYPK', 'SNCA', 'GABRB1', 'RPL8', 'BRCA1', 'CSNK1D', 'DNAJA2', 'STUB1', 'SUGT1', 'PRPF8', 'RAF1', 'HSPD1', 'EGFR', 'HSPH1', 'DNAJB1', 'HNRNPD', 'FANCC', 'EEF1A1', 'HSP90AB1', 'AP2M1', 'UBQLN2', 'TRIM25', 'SF3A2', 'CAD', 'KCNH2', 'ARNT', 'AMT', 'CTNNB1', 'SOD1', 'HDLBP', 'HTT', 'SGTA', 'DNAJC9', 'ABL1', 'HDAC6', 'TUBA1A', 'AHSA1', 'ERG', 'HYOU1', 'CAPZB', 'EP300', 'HSPA5', 'PPP1CA', 'DNAJC7', 'DNAJC3', 'STAU1', 'VHL', 'TRAF3IP1', 'MAP2K1', 'LAMP2', 'ST13', 'METTL21A', 'STIP1', 'HSPA1A', 'PARK2', 'BAG1', 'ISG15', 'AIPL1', 'DNAJB14', 'HSPA2', 'RPS4X', 'CDH1', 'ATP13A2', 'HSPA4L', 'VCP', 'HSF1', 'SEC24C', 'GLIPR1', 'HEMGN', 'HSPBP1', 'DNAJB12', 'TP53', 'DNAJB6', 'RUVBL1', 'BAG4', 'SHC1', 'FDPS', 'UBASH3B', 'ARRB1', 'CLTA', 'HSP90AA1', 'MDM2', 'SF3A1', 'HDAC10', 'CCAR2', 'ESR1', 'HTN3', 'PPP1CC', 'RGS2', 'MAPT', 'IL16', 'CFTR', 'PTEN', 'TARDBP', 'HSPA4', 'EDRF1', 'HIST3H3', 'SNW1', 'UCHL1', 'CUL4B', 'CAPZA1', 'BAG2', 'RPS15A', 'HCFC1', 'BRAF', 'DNAJA1', 'PABPC1', 'BCR', 'FLYWCH2', 'CDC5L', 'LRRK2', 'BAG3', 'CCND1', 'HSPA9', 'ARRB2', 'DNAJB11', 'PRKDC', 'TUBB', 'YWHAQ', 'DNAJC13']",HSPA8
STT3A,"['SARM1', 'IRAK2', 'TMEM173']",STT3A
CCM2,"['TWIST2', 'DOK4', 'SMURF1', 'VSTM2L', 'KRIT1']",CCM2
NANOG,"['USP21', 'SALL4', 'MED12', 'ZNF281', 'PCGF1']",NANOG
BOLA3,['GLRX5'],BOLA3
TULP3,"['TTC21B', 'IFT140', 'FOXK2', 'WDR35', 'IFT43', 'ANKRD54', 'WDR19', 'IFT122', 'SIRT1']",TULP3
HNRNPC,"['RALY', 'SRPK2', 'YWHAE', 'TOP1', 'ERG', 'PUF60', 'KRAS', 'RALYL', 'SRPK1', 'UBE2I', 'KPNA2', 'HNRNPD', 'KPNA3', 'BARD1', 'GRB2', 'DHX9', 'CHD4', 'PALB2', 'HNRNPC', 'RBM41', 'HNRNPA1', 'TRIM25', 'U2AF2', 'YWHAQ']",HNRNPC
FZD8,['LRP6'],FZD8
IST1,"['APEH', 'CHMP1B', 'ATXN1', 'SPAST']",IST1
LYRM5,"['NDUFAB1', 'MRPL46', 'NT5DC2', 'ETFA', 'ETFB']",LYRM5
DHX58,"['AGO2', 'STAU2', 'EIF2AK2', 'NKRF', 'DHX30', 'EIF6', 'DICER1']",DHX58
STBD1,"['GABARAP', 'GABARAPL1']",STBD1
CBR1,"['CBR3', 'ESR1']",CBR1
UBE2V1,"['TRIM32', 'BIRC3', 'UBE2N', 'STUB1', 'PARK2', 'PELI1', 'TRAF6']",UBE2V1
PRDX2,"['PRDX5', 'PCBP1', 'EWSR1', 'PRDX3', 'SOD1', 'PRDX6', 'PRDX1']",PRDX2
PRPF38A,"['SRSF3', 'CSNK2A1', 'JMJD6', 'MFAP1', 'SRPK1', 'SRPK2']",PRPF38A
ULK1,"['MUL1', 'ULK1', 'SYNGAP1', 'GABARAP', 'ATG16L1', 'NEDD4L', 'PRKAG1', 'AMBRA1', 'FLCN', 'PRKAA1', 'SQSTM1', 'SESN2', 'EXOC8', 'GABARAPL2', 'BECN1', 'MTOR', 'MEFV', 'SDCBP', 'RB1CC1', 'ATG13', 'RPTOR', 'TRIM16', 'ATG101']",ULK1
C2CD5,"['CDK5', 'FIBP']",C2CD5
NFU1,"['EPM2A', 'HIRA']",NFU1
COL20A1,['TEX11'],COL20A1
TNFRSF18,"['TRAF3', 'TRAF1', 'TRAF2']",TNFRSF18
PPP2CB,"['CCT8', 'ANKLE2', 'MOB4', 'PPFIA1', 'STRIP2', 'STRIP1', 'PPP2R2D', 'TCP1', 'CCT6A', 'INTS1', 'PPP4R1', 'INTS6', 'SGOL1', 'SIKE1', 'CEP350', 'SLMAP', 'CTTNBP2', 'PPP2R5A', 'PPP2R2A', 'STRN4', 'PRR14', 'PPP2R2B', 'PPP2R2C', 'FECH', 'CCT2', 'IGBP1', 'STRN3', 'PPP2CA', 'CCT7', 'PPP2R5D', 'PPP2R3B', 'STRN', 'CCT5', 'FGFR1OP2', 'PPP2R5E', 'FGFR1OP', 'PPP2R1B', 'CCDC6', 'FOXC1', 'CTTNBP2NL', 'TIPRL', 'PPFIA3', 'TLX1', 'PPP2R5C', 'CCT3', 'PPP4C', 'STK24', 'CCT4', 'PPP2R1A', 'PPME1', 'PRR14L']",PPP2CB
ABLIM2,['ABRA'],ABLIM2
AKR1B10,['ACACA'],AKR1B10
N4BP2L2,['PRPF4'],N4BP2L2
RCOR3,"['KRT15', 'HDAC2', 'GSE1', 'HMG20A', 'HDAC1', 'KDM1A', 'NECAB2', 'NINL', 'SOCS6']",RCOR3
PMM1,['RAB6A'],PMM1
NXT2,['NXF3'],NXT2
PSMD5,"['PSMB2', 'PSMB5', 'PSMC2', 'PSMD14', 'PSMD3', 'PSMC5', 'PSMC1', 'PSMA6', 'PSMB4', 'PSMD2', 'PSMD1', 'PSMC6', 'PSMA2', 'PSMD11', 'PSMD4', 'PSMD8', 'PSMA7', 'PSMA4', 'PSMD6', 'UBC', 'PSMC4', 'PSMB1', 'PSMC3', 'PSMD13', 'PSMD7', 'PSMD12', 'PSMA1']",PSMD5
MAGEA3,"['CASP12', 'TRIM28']",MAGEA3
PARD3,"['KPNA4', 'JAM2', 'CTNNB1', 'YWHAB', 'PARD6B', 'YWHAG', 'LATS1', 'PVRL3', 'YWHAH', 'PPP1CA', 'PARD6A', 'RASSF8', 'PSME2', 'PSME3', 'PARD6G', 'JAM3', 'DCAF7', 'LATS2', 'YWHAZ', 'PRKCI', 'TP53BP2']",PARD3
PPARGC1B,['ESR1'],PPARGC1B
RPS8,"['RPS24', 'RPL13', 'RPS25', 'RPS28', 'RPS4X', 'RPLP1', 'RPL21', 'RPS13', 'RPL23', 'RPL11', 'RPL24', 'RPL27', 'RPS21', 'HNRNPU', 'RPL37A', 'RPL10', 'RPL12', 'RPL8', 'RPS19', 'RPS27L', 'RPL31', 'RPS26', 'RPL6', 'LARP7', 'RPS27', 'RPL23A', 'RPL35', 'RPL36', 'RPS16', 'RPL3', 'RPS14', 'RPL26', 'RPS23', 'RPS9', 'RPS6', 'RPS10', 'RPS15A', 'RPLP2', 'RPL9', 'RPL27A', 'STAU1', 'RPL22', 'RPLP0', 'RPS7', 'RPS11', 'RPL7', 'RPL14', 'RPS2', 'RPS5', 'RPL18A', 'RPS12', 'NIFK', 'RPS3A', 'RPL19', 'NPM1', 'RPL30', 'RPL18', 'RPS18', 'RPSA', 'NCL', 'EEF1A1', 'RPS20', 'RPL32', 'ESR1', 'RPS29', 'RPL15', 'RPL10L', 'RPL10A', 'TRIM25', 'RPS3', 'RPL26L1', 'RPL5', 'RPL7A', 'RPL17', 'NOP56', 'RPL4']",RPS8
ABHD5,"['PLIN1', 'PNPLA2']",ABHD5
RNF115,"['PFDN5', 'SFN', 'EGFR', 'UBE2D2', 'RAB7A', 'UBE2D3', 'RAB7B', 'UBE2I', 'UBE2D1', 'RAD23A', 'RNF115', 'UBC', 'MYC', 'UBE2D4']",RNF115
RMDN3,"['YWHAB', 'VAPA', 'YWHAG']",RMDN3
SARS,"['SIRT2', 'TARS', 'EFTUD2', 'DUS3L']",SARS
FBXO33,"['CUL1', 'YBX1']",FBXO33
PHKG2,"['HERC2', 'PHKA2', 'PHKB', 'PHKA1']",PHKG2
C9orf89,['BCL10'],C9orf89
TENC1,"['FAM175B', 'CRKL', 'DTNB', 'YWHAB', 'GATA1', 'PGAM5', 'AXL', 'KLHL15', 'DMD', 'UTRN', 'CSK', 'C19orf66', 'SNTB2', 'DLC1']",TENC1
TRAM1,"['ESR2', 'ESR1', 'BCAP31']",TRAM1
HRK,"['BCL2L1', 'BCL2']",HRK
IGF2BP2,"['HNRNPD', 'HNRNPA1']",IGF2BP2
GGA3,"['MET', 'TBC1D3', 'ITGB1', 'ADRA2B', 'RABEP1', 'ARF6', 'IGF2R', 'ARF1', 'NTRK1', 'BACE1', 'RNF11', 'GGA1', 'ARF3', 'UBC', 'VPS18', 'PACS1', 'M6PR']",GGA3
CTIF,['SLBP'],CTIF
UCHL5,"['PSMB5', 'PSMD10', 'PSMB2', 'PSMC2', 'UCHL5', 'ACTR5', 'RUVBL2', 'INO80E', 'PSMD14', 'PAAF1', 'CTSD', 'ACTR8', 'SMAD3', 'PSMD3', 'PSMC5', 'PSMC1', 'UBE3A', 'PSMB4', 'NOS2', 'PSMD1', 'PSMD2', 'PSMC6', 'PSMA5', 'INO80D', 'ADRM1', 'INO80', 'INO80B', 'RUVBL1', 'PSMA3', 'PSMB7', 'HSPA5', 'YY1', 'TCF7', 'PSMA2', 'SMAD7', 'PSMD11', 'PSMD8', 'PSMD4', 'PSMA7', 'PSMD6', 'PSMB3', 'UBC', 'PSMA4', 'MCRS1', 'ARG1', 'PSMC4', 'INO80C', 'PRDX1', 'PSMC3', 'PSMB1', 'XPO5', 'E2F1', 'PSMD13', 'TFPT', 'PSMD7', 'NFRKB', 'PSMB6', 'SHFM1', 'PSMD12', 'TXNL1', 'PSMA1', 'HAUS7', 'ACTL6A']",UCHL5
DHX38,"['RBM10', 'CD2BP2', 'GPKOW', 'PPP4C', 'PPP4R2', 'NUDCD1', 'AAR2', 'DHX16']",DHX38
EDC4,"['EDC3', 'EIF2AK2', 'CCDC101', 'G3BP1', 'DCP1A', 'DCP2', 'DCP1B']",EDC4
NECAB2,"['KANSL1', 'WDYHV1', 'NEK6', 'CENPO', 'SDCBP', 'RCOR3', 'NECAB2', 'LNX1', 'RUNX1T1', 'PCM1']",NECAB2
TMCO6,['UBQLN1'],TMCO6
LEO1,"['WDR61', 'CSNK2A1', 'HIST1H1C', 'PAF1', 'SUPT16H', 'CDC73', 'SSRP1', 'TCEB3', 'HIST1H1A', 'SUPT5H', 'TCEA1', 'RTF1', 'KMT2A', 'CTR9']",LEO1
EIF3C,"['EIF3D', 'EIF3A', 'EIF3L', 'EIF2B3', 'HERC2', 'EIF3F', 'EIF3B', 'EIF3M', 'EIF3H', 'EIF3E', 'EIF3G', 'EIF3I', 'EIF3K']",EIF3C
PCK1,"['UBR5', 'EP300', 'BAG6']",PCK1
PPP1R12B,"['PPP1R12A', 'PPP1CB', 'PIK3R3', 'IL16']",PPP1R12B
H1FX,"['BMI1', 'EGFR', 'NPM1', 'NOP56']",H1FX
AGR2,['POM121'],AGR2
GIT1,"['C8orf33', 'PTK2', 'HAP1', 'HTT', 'LRIF1', 'ARHGEF6', 'GIT1', 'PCLO', 'PAK2', 'PFDN1', 'PLCG1', 'HMOX2', 'PAK1', 'GIT2', 'BARD1', 'GRB2', 'ARHGEF7', 'PPFIA3', 'PPFIA2', 'MED4', 'CHD3', 'RGS2', 'ADRBK1', 'PPFIA4', 'PPFIA1']",GIT1
FBXL18,"['CALCOCO2', 'RBPMS', 'PNMA1', 'MDFI', 'FBXL7', 'CUL1']",FBXL18
KIAA0196,"['CCDC53', 'CAPZA2', 'KIAA1033', 'FAM21C', 'VPS26A', 'WASH1', 'FKBP15']",KIAA0196
HIST2H4A,"['PRMT1', 'HIST1H3A', 'TP53BP1']",HIST2H4A
GNAZ,"['EYA2', 'RGS20', 'RGS19']",GNAZ
NDE1,"['PAFAH1B1', 'TRIM27', 'NDEL1']",NDE1
MLLT4,"['RAP1A', 'YWHAQ', 'LMO2', 'YWHAG', 'RNF146', 'YWHAB', 'EPHB3', 'PVRL3', 'PVRL1', 'F11R', 'PFN1', 'BCR', 'USP9X', 'SORBS1', 'PARK2', 'TJP1', 'SSX2IP', 'RAP1GAP', 'SOCS6', 'HRAS']",MLLT4
HTR6,"['COPS5', 'RPTOR', 'MTOR', 'NF1']",HTR6
GCN1L1,"['CLN3', 'ILK', 'SNW1', 'MYC', 'TPTE', 'CDC5L']",GCN1L1
MRFAP1,"['MORF4L2', 'SUV39H2', 'MORF4L1', 'RB1']",MRFAP1
TEKT4,['MAGEA4'],TEKT4
RPS5,"['RPS24', 'RPS25', 'RPS4X', 'RPS11', 'RPL24', 'RPLP1', 'RPL21', 'RPS13', 'RPL23', 'RPL11', 'RPS21', 'RPL37A', 'RPL10', 'RPL12', 'GNL3', 'RPS19', 'RPL31', 'RPS26', 'RPL6', 'RPL23A', 'RPS16', 'RPS14', 'RPS23', 'RPS9', 'RPS6', 'RPS10', 'RPS15A', 'RPLP2', 'RPL9', 'FBL', 'RPLP0', 'RPS7', 'RPS2', 'RPL7', 'RPL14', 'RPL18A', 'RPS8', 'RPS12', 'RPS3A', 'RPL19', 'SPDL1', 'NPM1', 'RPL30', 'RPL18', 'RPS18', 'RPSA', 'EEF1A1', 'RPS20', 'TUFM', 'RPL15', 'RPL10A', 'RPL7A', 'RPL5', 'RPS3', 'RPL17', 'RPL4']",RPS5
MRPL40,"['MRPL9', 'MRPL37', 'MRPL50', 'MRPL46', 'MRPL42', 'MRPL39']",MRPL40
SMPD3,['EED'],SMPD3
MAEA,"['YPEL5', 'RMND5A', 'RANBP10', 'GID8', 'ARMC8', 'WDR26', 'RANBP9', 'GID4', 'MKLN1']",MAEA
S100Z,['S100P'],S100Z
HOMER1,"['C1orf116', 'AGAP2', 'HOMER3', 'RYR1', 'DBN1']",HOMER1
USP47,"['BTRC', 'KIFC3', 'FBXW11']",USP47
ALPL,['EEF1A1'],ALPL
TICRR,['TOPBP1'],TICRR
RFX2,['FOXJ1'],RFX2
HNF1A,"['KAT2B', 'PCBD1', 'SIRT1', 'NCOA1', 'NCOA3', 'EP300', 'RNF14', 'CREBBP', 'HNF1A', 'HMGB1', 'HNF1B']",HNF1A
WDR48,"['FANCI', 'PHLPP2', 'PAXIP1', 'ATAD5', 'UBR5', 'RAD51AP1', 'SOCS6', 'NFATC2', 'USP12', 'USP1', 'NFATC1', 'USP46', 'PHLPP1', 'WDR20']",WDR48
EMC9,"['MMGT1', 'EMC3', 'EMC2', 'EMC7']",EMC9
ARL3,"['UNC119', 'RP2', 'ARL2BP']",ARL3
RARRES3,"['MAVS', 'SDC4', 'PTGDS', 'UBE2I']",RARRES3
CDC42SE1,['CDC42'],CDC42SE1
HCFC2,"['RBBP5', 'HCFC1', 'WDR5', 'ASH2L', 'IRF2', 'KMT2A']",HCFC2
TNF,"['TNIP1', 'RBCK1', 'BIRC2', 'IKBKB', 'TNF', 'SHARPIN', 'AGO2', 'RNF31', 'TBK1', 'SPATA2', 'OPTN', 'HTRA2', 'TRADD', 'ZFP36', 'CHUK', 'TNIP2', 'TNFRSF1A', 'TAB2', 'OTULIN', 'RIPK1', 'IKBKG', 'UBC', 'MIB2', 'TAB1', 'CYLD', 'TRAF2', 'MAP3K7', 'TNFRSF1B', 'TNFAIP3']",TNF
STRADA,"['XPO1', 'STK11']",STRADA
AKAP5,"['PPP3CA', 'PRKACB', 'TRPV1', 'PRKACA', 'PRKAR2A', 'PRKAR2B', 'GABRB3']",AKAP5
SRSF1,"['RNPS1', 'SF3A2', 'SRPK2', 'BRCA1', 'SRSF1', 'TRAF3IP2', 'TRA2B', 'TP53', 'NXF1', 'TOP1', 'HDGF', 'EFTUD2', 'SRPK1', 'PSIP1', 'CIR1', 'CDC5L', 'SRSF2', 'U2AF1', 'CLK1', 'SNRNP70', 'U2AF2', 'EIF4A3', 'SRSF9']",SRSF1
PLIN5,['LIPE'],PLIN5
HM13,"['RNF139', 'HERC2']",HM13
PDHA2,['PDHB'],PDHA2
GIGYF1,"['EIF4E2', 'GRB10', 'RQCD1']",GIGYF1
NEK7,"['P4HA2', 'NEK9', 'NEK6', 'TERF1']",NEK7
DBP,['DDIT3'],DBP
ZNF264,['TRIM41'],ZNF264
MAP2K7,"['MAP3K1', 'GADD45B', 'MAPK8', 'MAPK1', 'MAPK8IP1', 'MAP3K12', 'MAPK9', 'MAPK8IP3', 'MAP3K2', 'MAP3K11', 'LRRK2', 'DUSP19', 'MAPK8IP2', 'RANBP2']",MAP2K7
MSX1,"['MSX1', 'TBP', 'DLX2', 'MSX2']",MSX1
PMF1,"['MIS12', 'NSL1', 'NFE2L2', 'SPC24', 'ZWINT', 'DSN1', 'SUGT1', 'CASC5', 'NUF2']",PMF1
