Genes,Interactors,Norm_Symbol
LUZP1,"['SCLT1', 'PCM1']",LUZP1
ADNP,"['CBX1', 'HDAC1', 'CBX3', 'SMARCA4', 'CBX5']",ADNP
BRSK1,['PAK1'],BRSK1
KATNA1,"['VPRBP', 'PAFAH1B1', 'KATNBL1', 'NDEL1', 'DYNC1H1', 'CUL3', 'KATNB1', 'DYRK2']",KATNA1
SNRPN,"['EFTUD2', 'CD2BP2', 'GEMIN2', 'PRPF8', 'MEPCE', 'RIOK1', 'SNRPD3']",SNRPN
MTA1,"['DNMT1', 'GATAD2A', 'ATR', 'HSF1', 'MBD3L1', 'RBBP7', 'CSNK1G2', 'BCL11A', 'HDAC2', 'MTA2', 'TP53', 'SOX2', 'NR2C1', 'LMO4', 'ZFPM2', 'ITGB3BP', 'FOXK2', 'BCL11B', 'UBE2I', 'CHD5', 'GATAD2B', 'HIC1', 'KPNA3', 'HIF1A', 'IKZF1', 'RBBP4', 'CHD4', 'ESR1', 'CHD3', 'BLOC1S1', 'HDAC1', 'MNAT1', 'KDM1A', 'TRIM25', 'NACC2', 'MBD3', 'PARK7']",MTA1
CCNE1,"['RB1', 'CDKN1A', 'TP73', 'CDK6', 'PIN1', 'CDK3', 'HIST1H1A', 'FBXW7', 'CDK1', 'POLD1', 'CTNNB1', 'GSK3B', 'CDK5', 'HERC5', 'HIST1H1B', 'CDC25A', 'BTRC', 'MCM3', 'RBL2', 'CDKN1B', 'CDK4', 'RHOBTB3', 'SKP2', 'NPAT', 'CUL3', 'SMARCA4', 'UHRF2', 'PARK2', 'FOXM1', 'CDK2']",CCNE1
TMEM248,['BARD1'],TMEM248
MYCBP2,"['FBXO45', 'UBE2D3', 'LGALS3BP', 'FBXW7', 'MYC', 'NR1D1', 'RAE1', 'YWHAQ']",MYCBP2
EIF2S2,"['EIF2S1', 'CSNK2A1', 'DCC', 'CSNK2B', 'EIF5', 'EIF2S3', 'HDGF', 'NCK1']",EIF2S2
PNMA1,"['SCNM1', 'WDYHV1', 'ZCCHC12', 'SDCBP', 'PNMAL1', 'METTL17', 'PRPF31', 'ZNF581', 'PNMA6A', 'FBXL18', 'TEAD4', 'MCM7', 'SNRPB2']",PNMA1
FAM189A2,"['WWP1', 'WWP2']",FAM189A2
MED18,"['MED23', 'MED14', 'MED12', 'MED9', 'MED8', 'CDK19', 'MED27', 'MED30', 'MED6', 'MED26', 'CDK8', 'MED17', 'MED13', 'MED15', 'MED28', 'CCNC', 'MED21', 'MED16', 'MED29', 'MED10', 'MED1', 'MED22', 'MED24', 'MED20', 'MED11', 'MED31', 'MED4', 'MED19']",MED18
CNNM4,"['PTP4A2', 'PTP4A1']",CNNM4
IRAK4,"['MYD88', 'TIRAP', 'IRAK1', 'PELI1', 'PELI2', 'TRAF6']",IRAK4
AMY1A,['AKAP8'],AMY1A
AMBP,"['AMBP', 'CD79A', 'A2M']",AMBP
