Genes,Interactors,Norm_Symbol
PRR14,"['PPP2R5E', 'C6orf141', 'CELA1', 'PPP2R1A', 'PPP2CA', 'CBX5', 'LYPD4', 'MAN2B2', 'PPP2CB', 'PPP2R5C', 'PPP2R5D', 'CTDSP2', 'PPP2R5A', 'CBX1', 'PPP2R1B', 'SPINT2']",PRR14
KIAA0182,"['FGF1', 'SNAI1', 'TCF4', 'HDAC1', 'HMG20A', 'HAO2', 'DOK4', 'FAM136A', 'LLGL2', 'HMG20B']",KIAA0182
DNAJC2,"['GTF2E2', 'USP47', 'HSPA14']",DNAJC2
ERP29,"['DERA', 'HLA-DPB1', 'GLB1L', 'ARSB', 'EXOC5', 'ALDH16A1']",ERP29
SMURF2,"['SEMG2', 'SMAD5', 'MARS2', 'SMAD1', 'SMURF1', 'NEDD4', 'LINGO2', 'C18orf1', 'ARHGAP5']",SMURF2
MCL1,"['TRIM11', 'BBC3', 'PRKAA1', 'SERPINB7', 'RANBP6', 'BCL2L11', 'PRKAB2', 'CPT2', 'ARG1', 'ECM1', 'ASPRV1', 'EDEM2', 'STARD9', 'PRKAB1', 'BAX', 'BAK1', 'GPR77', 'EDNRA']",MCL1
HOXB5,"['C12orf75', 'CCNY', 'GNAO1', 'CNTN1', 'HOXC4', 'NUP155', 'SIRT5', 'PAG1', 'SIRT1', 'UBTD2', 'ATP6V0A1', 'HRAS', 'FYN', 'HDGFRP2', 'GNB4', 'GNAZ', 'NUP35', 'EFR3B', 'PALM', 'CTNNBL1', 'GNAQ', 'LYN', 'ULBP2', 'SRC', 'EFR3A', 'HIST1H1D', 'C8orf47', 'YES1', 'VPS37C', 'CCNYL1', 'SVIP']",HOXB5
SEC16A,"['SEC13', 'NEFL']",SEC16A
GNAI3,"['TMEM48', 'GNG11', 'GNG4', 'GNAO1', 'GNG10', 'RIC8A', 'GPSM1', 'DCUN1D5', 'GNB2', 'GNB1', 'GNG7', 'GNAI2', 'GNG5', 'RGS12', 'CLTCL1', 'ATP2A3', 'GNB4', 'GNAT2', 'ANKRD13B', 'TMEM222', 'GNAI1', 'RAP1GAP', 'PCP2', 'RGS14']",GNAI3
NBN,"['C9orf25', 'CELA2B', 'BMP1', 'RGS20', 'LZTS2']",NBN
FAM168A,"['FBXO6', 'WWP2']",FAM168A
ABCF2,"['NUDCD1', 'AHCYL1', 'AHCYL2', 'GNL1', 'PTGES2']",ABCF2
PARVB,"['ILK', 'PARVA', 'RSU1', 'LIMS1']",PARVB
CCDC115,"['TSPAN17', 'MUC1', 'ATP6V0D2', 'ATP6AP2', 'KIAA2013', 'PLXDC2', 'ATP6V0A2', 'ATP6V0E1', 'C3AR1', 'ATP6V0D1', 'TMEM199']",CCDC115
