Genes,caudate,cerebral cortex,hippocampus,hypothalamus,Norm_Symbol
POLR2C,1,2,1,0,POLR2C
FPGS,2,2,0,0,FPGS
PTPRJ,2,2,2,0,PTPRJ
RET,0,0,0,0,RET
NFIA,3,3,3,0,NFIA
NDUFS6,2,3,3,0,NDUFS6
KIAA0556,2,2,2,0,KIAA0556
EPCAM,3,3,3,0,EPCAM
CHCHD10,1,1,0,0,CHCHD10
LRRC24,0,0,0,0,LRRC24
UBE2L6,2,2,1,0,UBE2L6
QSER1,0,0,0,0,QSER1
SERAC1,2,2,2,0,SERAC1
PKN1,0,0,0,0,PKN1
ATP5MC2,0,1,0,0,ATP5MC2
MB,0,0,0,0,MB
RPS15,0,1,0,0,RPS15
DNAJB4,2,1,1,0,DNAJB4
MOXD1,0,0,0,0,MOXD1
POLB,3,2,2,0,POLB
RHOBTB1,0,0,0,0,RHOBTB1
HIVEP1,0,0,0,0,HIVEP1
ZMIZ1,3,2,3,0,ZMIZ1
SH3YL1,1,1,0,0,SH3YL1
JADE1,1,1,2,0,JADE1
MTA3,0,2,1,0,MTA3
AGK,0,0,0,0,AGK
RASSF4,0,0,0,0,RASSF4
RPAP1,0,0,0,0,RPAP1
UPK2,0,0,0,0,UPK2
TMEM51,2,3,2,0,TMEM51
MANSC1,0,0,0,0,MANSC1
IRF2BP2,0,0,0,0,IRF2BP2
IQCB1,2,2,2,0,IQCB1
SNX29,2,2,2,0,SNX29
SRGAP3,1,1,0,0,SRGAP3
ANKRD45,0,1,1,0,ANKRD45
PHF20,1,1,2,0,PHF20
TMEM158,2,0,1,0,TMEM158
CST3,1,1,1,0,CST3
RPH3AL,0,0,0,0,RPH3AL
SELENOP,0,0,0,0,SELENOP
GPATCH2L,0,0,0,0,GPATCH2L
DTX2,1,1,1,0,DTX2
MIOS,3,3,3,0,MIOS
RNF214,0,1,0,0,RNF214
CDC42BPA,2,3,2,0,CDC42BPA
MAT2A,0,0,0,0,MAT2A
DYRK1A,0,0,0,0,DYRK1A
TMEM45B,0,0,0,0,TMEM45B
PCK1,2,2,2,0,PCK1
PTPRA,0,0,0,0,PTPRA
GRB7,2,1,1,0,GRB7
KLK3,3,2,2,0,KLK3
CISD2,1,1,1,0,CISD2
HPRT1,2,2,1,0,HPRT1
YWHAB,0,0,0,0,YWHAB
LRRC37A2,3,3,3,0,LRRC37A2
EEF2KMT,2,2,1,0,EEF2KMT
GABRA6,1,0,1,0,GABRA6
FCRL4,1,2,2,0,FCRL4
CIB1,2,2,2,0,CIB1
ENO2,2,2,2,0,ENO2
TANK,0,0,0,0,TANK
CPT1C,0,0,0,0,CPT1C
SIAH1,0,0,0,0,SIAH1
CAB39,0,0,0,0,CAB39
MANEA,1,1,0,0,MANEA
MRGPRF,0,0,0,0,MRGPRF
KRT33A,1,1,1,0,KRT33A
PHGDH,0,0,0,0,PHGDH
ZFAND1,1,1,1,0,ZFAND1
PCM1,0,0,0,0,PCM1
CALML4,2,1,1,0,CALML4
SMIM12,0,0,0,0,SMIM12
NFX1,0,2,0,0,NFX1
CBL,2,0,0,0,CBL
PPP4R4,2,2,0,0,PPP4R4
STRBP,1,1,1,0,STRBP
OCRL,2,2,1,0,OCRL
ATP5F1B,0,0,0,0,ATP5F1B
TMC3,2,2,2,0,TMC3
RANBP2,1,2,2,0,RANBP2
RAB11A,2,3,1,0,RAB11A
ANK2,1,1,1,0,ANK2
CEP152,2,2,2,0,CEP152
CAVIN4,0,0,0,0,CAVIN4
ATP1A3,1,1,0,0,ATP1A3
SLC44A4,0,0,0,0,SLC44A4
TPSB2,3,3,3,0,TPSB2
HOOK1,2,2,2,0,HOOK1
DEFA3,0,0,0,0,DEFA3
TGFBRAP1,2,3,2,0,TGFBRAP1
CNDP2,2,2,2,0,CNDP2
EXOSC5,2,3,1,0,EXOSC5
SPANXC,2,2,2,0,SPANXC
ENDOU,1,1,2,0,ENDOU
MALT1,1,3,2,0,MALT1
SPATA3,1,1,0,0,SPATA3
PIGS,1,0,0,0,PIGS
TMCO5A,0,0,0,0,TMCO5A
LRP8,0,0,0,0,LRP8
PSMD2,1,3,1,0,PSMD2
CUL3,2,2,2,0,CUL3
SYT2,3,3,3,0,SYT2
BIRC5,0,0,0,0,BIRC5
CCDC9B,0,0,0,0,CCDC9B
THBD,2,2,2,0,THBD
FDXR,0,0,0,0,FDXR
MRI1,2,3,2,0,MRI1
SMARCC1,2,3,2,0,SMARCC1
PRPF4B,0,0,0,0,PRPF4B
REPIN1,1,2,1,0,REPIN1
UTP3,0,2,0,0,UTP3
KAT6B,0,0,0,0,KAT6B
CASP4,0,0,0,0,CASP4
OTX1,2,2,0,0,OTX1
DUSP22,0,2,0,0,DUSP22
AZU1,0,0,0,0,AZU1
F2R,2,2,2,0,F2R
BATF,0,0,0,0,BATF
PGRMC2,2,2,2,0,PGRMC2
INPPL1,0,0,0,0,INPPL1
TMEM171,2,2,1,0,TMEM171
NCSTN,0,0,0,0,NCSTN
GLI3,0,0,0,0,GLI3
DNAJC21,0,0,0,0,DNAJC21
PNRC1,2,3,2,0,PNRC1
LRCH2,2,3,3,0,LRCH2
FBLIM1,3,3,3,0,FBLIM1
PPP2R5C,0,2,2,0,PPP2R5C
CELSR3,1,0,0,0,CELSR3
EIF2D,0,0,0,0,EIF2D
GRIA1,1,3,2,0,GRIA1
ATF7IP2,0,0,0,0,ATF7IP2
LILRB4,0,0,0,0,LILRB4
XPNPEP3,2,3,2,0,XPNPEP3
MAN1A2,1,2,2,0,MAN1A2
SUGP2,2,2,2,0,SUGP2
SFXN3,1,1,1,0,SFXN3
UNC80,0,0,0,0,UNC80
FAM170A,1,1,1,0,FAM170A
ANKHD1-EIF4EBP3,0,0,0,0,ANKHD1-EIF4EBP3
RPS4X,2,2,2,0,RPS4X
RNF6,2,2,2,0,RNF6
AP2B1,0,1,1,0,AP2B1
AQP5,2,2,2,0,AQP5
EDEM2,3,3,3,0,EDEM2
NDEL1,0,1,0,0,NDEL1
FAM24B,0,0,0,0,FAM24B
CEP63,0,0,0,0,CEP63
DBT,1,1,0,0,DBT
GZMK,0,1,0,0,GZMK
TEX55,1,2,2,0,TEX55
RPS27A,0,0,0,0,RPS27A
CTCF,0,0,0,0,CTCF
SCGB2A2,0,0,0,0,SCGB2A2
CEL,0,0,0,0,CEL
WASHC5,2,2,2,0,WASHC5
BRIX1,2,3,3,0,BRIX1
GLRA2,3,2,2,0,GLRA2
RBPMS,1,1,0,0,RBPMS
SF3A1,2,2,3,0,SF3A1
ZNF415,3,3,2,0,ZNF415
SLC52A3,0,0,0,0,SLC52A3
DPH5,2,2,2,0,DPH5
ALKBH1,3,3,3,0,ALKBH1
RPL30,0,0,0,0,RPL30
NT5C3B,2,3,2,0,NT5C3B
NEK6,1,1,1,0,NEK6
MIOX,0,1,0,0,MIOX
MXI1,0,0,0,0,MXI1
TAOK2,2,2,1,0,TAOK2
RPL23,0,0,0,0,RPL23
HIVEP3,1,1,0,0,HIVEP3
NMT1,0,0,0,0,NMT1
PPP2R2A,0,0,0,0,PPP2R2A
DCP1A,0,0,0,0,DCP1A
SNX33,0,0,0,0,SNX33
PSG4,0,0,0,0,PSG4
NGLY1,0,0,0,0,NGLY1
MBD3,0,2,2,0,MBD3
ALDH3B2,2,2,2,0,ALDH3B2
DPM1,0,0,0,0,DPM1
DNAJC17,0,0,0,1,DNAJC17
CAPN11,2,2,2,0,CAPN11
CD14,0,1,1,0,CD14
ASGR2,3,2,2,0,ASGR2
ACTN4,0,0,0,0,ACTN4
PIP4P2,0,0,0,0,PIP4P2
ASB18,0,0,0,0,ASB18
SEC14L2,1,0,0,0,SEC14L2
ZC2HC1A,2,3,2,0,ZC2HC1A
SYNJ2BP-COX16,3,3,3,0,SYNJ2BP-COX16
SLC51B,2,3,3,0,SLC51B
FPR1,0,0,0,0,FPR1
SUB1,3,2,3,0,SUB1
VASP,0,0,0,0,VASP
DOLPP1,1,3,2,0,DOLPP1
AKR1A1,1,1,1,0,AKR1A1
DLK1,0,0,0,0,DLK1
FAM163B,0,0,0,0,FAM163B
EMILIN2,0,0,0,0,EMILIN2
NMNAT1,0,0,0,0,NMNAT1
BCAS3,1,1,1,0,BCAS3
ZNF275,0,0,0,0,ZNF275
NTRK2,1,1,0,0,NTRK2
TBC1D23,2,2,2,0,TBC1D23
PDE6G,0,2,1,0,PDE6G
FAM89B,2,2,2,0,FAM89B
MTRR,2,2,2,0,MTRR
WNT10B,1,1,1,0,WNT10B
HK2,0,0,0,0,HK2
PARP6,2,3,0,0,PARP6
PEG3,2,2,0,0,PEG3
DMXL1,0,0,0,0,DMXL1
RCC1,0,0,0,0,RCC1
SEPTIN7,3,3,3,0,SEPTIN7
DEFB136,0,0,0,0,DEFB136
MAP2K4,2,2,2,0,MAP2K4
EVA1A,0,0,0,0,EVA1A
EPYC,0,0,0,0,EPYC
MAGEC3,1,3,2,0,MAGEC3
RSPH9,1,2,2,0,RSPH9
USP7,1,2,1,0,USP7
HGFAC,2,2,2,0,HGFAC
PSG7,1,2,2,0,PSG7
TEX22,0,2,0,0,TEX22
CAMKV,1,3,2,0,CAMKV
BNIP1,0,0,0,0,BNIP1
MIGA2,0,0,0,0,MIGA2
DCT,1,2,1,0,DCT
BLOC1S6,2,3,2,0,BLOC1S6
GGA3,2,0,0,0,GGA3
CNTROB,1,2,2,0,CNTROB
PAIP1,1,3,1,0,PAIP1
DBN1,0,0,0,0,DBN1
MAEL,0,0,0,0,MAEL
HRC,0,1,0,0,HRC
MARCHF10,1,1,1,0,MARCHF10
PEX3,2,3,2,0,PEX3
RPL35,3,3,3,0,RPL35
FABP2,0,0,0,0,FABP2
B3GNT3,1,1,1,0,B3GNT3
NSDHL,0,0,0,0,NSDHL
C17orf49,3,3,2,0,C17orf49
PWWP3B,1,1,0,0,PWWP3B
SPDYE16,2,2,2,0,SPDYE16
PID1,3,2,3,0,PID1
YTHDF2,0,0,0,0,YTHDF2
HDAC2,0,1,0,0,HDAC2
EXOG,0,0,0,0,EXOG
CBWD6,0,0,0,0,CBWD6
CCDC90B,0,0,0,0,CCDC90B
PRRG2,1,0,1,0,PRRG2
GTF2B,2,2,2,0,GTF2B
RBMXL3,2,3,1,0,RBMXL3
SFT2D2,0,0,0,0,SFT2D2
UBTF,1,1,1,0,UBTF
CC2D1A,0,0,1,0,CC2D1A
FGD3,0,0,0,0,FGD3
MPHOSPH9,0,0,0,0,MPHOSPH9
IL9R,1,1,1,0,IL9R
MSMB,0,0,0,0,MSMB
SPINT2,0,1,0,0,SPINT2
PDC,0,0,0,0,PDC
CAP1,0,0,0,0,CAP1
MAGEA4,2,3,3,0,MAGEA4
PCDHA1,2,2,2,0,PCDHA1
KCTD10,1,1,1,0,KCTD10
USP47,2,3,2,0,USP47
LRRC4C,2,1,1,0,LRRC4C
NAA11,0,0,0,0,NAA11
SNX7,0,0,0,0,SNX7
NMUR2,2,2,1,0,NMUR2
CNTNAP1,1,1,0,0,CNTNAP1
FAM241A,2,2,2,0,FAM241A
GCOM1,3,3,3,0,GCOM1
ZC3H14,0,0,0,0,ZC3H14
LAT,1,1,2,0,LAT
FAM162A,0,0,1,0,FAM162A
BID,0,0,0,0,BID
SNRNP40,2,3,2,0,SNRNP40
NACAD,1,0,1,0,NACAD
PHIP,0,0,2,0,PHIP
RNF38,0,0,0,0,RNF38
PLK1,1,1,0,0,PLK1
DDX49,2,1,2,0,DDX49
TUBA1B,2,3,2,0,TUBA1B
SMG1,0,0,0,0,SMG1
ACBD6,2,3,2,0,ACBD6
KHK,1,1,1,0,KHK
MYBPC1,3,3,3,0,MYBPC1
BRINP1,0,0,0,0,BRINP1
CCDC174,0,0,0,0,CCDC174
TRIM23,0,0,1,0,TRIM23
TAC1,0,1,1,0,TAC1
SERPINI1,0,0,0,0,SERPINI1
SRPK1,1,1,0,0,SRPK1
SMAD5,1,1,1,0,SMAD5
GBA,2,2,2,0,GBA
GTPBP3,3,3,3,0,GTPBP3
TNK2,2,2,2,0,TNK2
RALBP1,1,0,1,0,RALBP1
PDCD6IP,3,3,2,0,PDCD6IP
TTC25,0,2,2,0,TTC25
CX3CR1,0,0,0,0,CX3CR1
SOCS4,3,3,3,0,SOCS4
TRPM1,0,0,0,0,TRPM1
CNOT9,1,3,2,0,CNOT9
FAM117A,0,0,0,0,FAM117A
TMUB2,0,0,0,0,TMUB2
H2AC17,1,1,2,0,H2AC17
FARSB,0,0,0,0,FARSB
IGF1,3,3,3,0,IGF1
MYO3B,1,1,0,0,MYO3B
NTHL1,1,2,2,0,NTHL1
GAL,1,1,0,0,GAL
MOGS,2,2,2,0,MOGS
CCNA2,2,2,2,0,CCNA2
TMEM37,0,0,0,0,TMEM37
ANKRD53,0,1,0,0,ANKRD53
GRAMD2B,3,2,2,0,GRAMD2B
LAMB4,2,2,2,0,LAMB4
NECTIN1,0,0,0,0,NECTIN1
ASB7,0,1,0,0,ASB7
POLD3,0,0,0,0,POLD3
APTX,0,0,0,0,APTX
REG4,0,0,0,0,REG4
EDIL3,2,2,2,0,EDIL3
PLXND1,2,2,2,0,PLXND1
N4BP3,3,3,3,0,N4BP3
PDE6H,2,3,3,0,PDE6H
APH1A,1,1,1,0,APH1A
CASK,0,0,0,0,CASK
REXO1,0,0,0,0,REXO1
ASRGL1,2,2,0,0,ASRGL1
NDUFB11,0,1,0,0,NDUFB11
EN1,0,0,0,0,EN1
GPRC5D,2,2,1,0,GPRC5D
TSC1,0,2,2,0,TSC1
NDUFA1,2,2,2,0,NDUFA1
MYLK3,2,0,0,0,MYLK3
IRX2,1,1,1,0,IRX2
AGPS,1,1,1,0,AGPS
CMPK1,0,2,0,0,CMPK1
NCAN,1,1,1,0,NCAN
ERG28,1,2,2,0,ERG28
CNOT3,1,0,0,0,CNOT3
UTRN,2,1,0,0,UTRN
FAM76B,0,2,2,0,FAM76B
AL669918.1,2,2,2,0,AL669918.1
ISX,0,0,0,0,ISX
GTSF1,1,2,0,0,GTSF1
ASIC2,2,2,2,0,ASIC2
HHLA2,0,0,0,0,HHLA2
NUCB1,3,3,2,0,NUCB1
BPTF,3,3,3,0,BPTF
ITPKC,0,3,1,0,ITPKC
HECTD2,2,2,2,0,HECTD2
RNF115,0,0,0,0,RNF115
SERPINB4,2,2,2,0,SERPINB4
TIGD1,0,0,0,0,TIGD1
MRFAP1,2,2,2,0,MRFAP1
TLR8,2,2,2,0,TLR8
SCRN1,0,0,0,0,SCRN1
PSMD11,0,1,0,0,PSMD11
DOK1,0,0,0,0,DOK1
SLIRP,2,3,3,0,SLIRP
INSC,2,2,3,0,INSC
RPE,3,3,3,0,RPE
IFT57,2,2,0,0,IFT57
OS9,1,2,2,0,OS9
ZEB1,2,3,2,0,ZEB1
PRSS37,2,2,1,0,PRSS37
WDR11,1,2,2,0,WDR11
SRCAP,2,2,2,0,SRCAP
SDK1,1,2,2,0,SDK1
PDZD4,2,2,3,0,PDZD4
SYMPK,2,2,2,0,SYMPK
F12,3,3,2,0,F12
KCTD16,0,2,1,0,KCTD16
SLC7A6OS,2,2,2,0,SLC7A6OS
MRGPRX2,2,2,2,0,MRGPRX2
SETSIP,0,0,0,0,SETSIP
AL592183.1,0,0,1,0,AL592183.1
CDK11A,0,0,0,0,CDK11A
TBCEL,2,3,2,0,TBCEL
TECPR2,0,2,1,0,TECPR2
DOCK5,1,2,2,0,DOCK5
BICC1,0,0,0,0,BICC1
TXNDC2,0,0,0,0,TXNDC2
ATP8B2,0,0,0,0,ATP8B2
XDH,0,1,2,0,XDH
HBS1L,2,2,2,0,HBS1L
PALM,2,3,3,0,PALM
UPF3A,2,2,2,0,UPF3A
UTP11,3,3,3,0,UTP11
ESYT2,3,3,3,0,ESYT2
MYD88,0,0,0,0,MYD88
GSK3B,3,3,3,0,GSK3B
HTR5A,0,0,0,0,HTR5A
WDR54,0,0,0,0,WDR54
WASHC2A,2,2,2,0,WASHC2A
HSPB1,1,1,1,0,HSPB1
PTPN21,0,0,0,0,PTPN21
NOL10,0,0,0,0,NOL10
REEP1,3,3,3,0,REEP1
STK16,2,1,2,0,STK16
TEPP,0,0,0,0,TEPP
ELSPBP1,0,0,0,0,ELSPBP1
ATP6V1B2,0,1,1,0,ATP6V1B2
EFCAB2,3,3,3,0,EFCAB2
RPAP3,0,0,0,0,RPAP3
ZNF711,0,0,0,0,ZNF711
TNFRSF18,2,1,2,0,TNFRSF18
CD300A,0,0,0,0,CD300A
AXIN1,3,3,3,0,AXIN1
KMT2A,2,2,3,0,KMT2A
RSF1,2,2,2,0,RSF1
TGFA,2,2,2,0,TGFA
DNAJB13,0,0,0,0,DNAJB13
PXMP4,2,2,2,2,PXMP4
SYNJ2BP,0,1,0,0,SYNJ2BP
CBSL,0,0,0,0,CBSL
SLC35E1,0,0,0,0,SLC35E1
RPL12,0,0,0,0,RPL12
CHAF1B,1,3,3,0,CHAF1B
PICALM,0,2,2,0,PICALM
GAS6,0,0,0,0,GAS6
PAWR,0,0,0,0,PAWR
CHST4,2,2,2,0,CHST4
HNRNPA1,0,0,0,0,HNRNPA1
ZSWIM8,0,0,0,0,ZSWIM8
ZNF814,2,2,2,0,ZNF814
CYBA,1,3,3,0,CYBA
JDP2,2,2,3,0,JDP2
IFI30,0,0,0,0,IFI30
NDUFA3,0,0,0,0,NDUFA3
RTKN2,3,3,3,0,RTKN2
MAOB,2,3,2,0,MAOB
TMEM223,1,1,1,0,TMEM223
MS4A12,2,3,3,0,MS4A12
TET3,2,2,2,0,TET3
PSMD13,0,0,0,0,PSMD13
NAE1,0,0,0,0,NAE1
HIF3A,2,2,2,0,HIF3A
ACRBP,2,1,0,0,ACRBP
CHST14,0,0,0,0,CHST14
CYP2C9,2,2,2,0,CYP2C9
MCPH1,2,2,2,0,MCPH1
POP5,3,3,1,0,POP5
HM13,2,2,0,0,HM13
KCNQ2,2,3,2,0,KCNQ2
VEGFA,2,2,2,0,VEGFA
XPNPEP1,2,2,2,0,XPNPEP1
HPX,0,1,2,0,HPX
CSPG5,0,0,0,0,CSPG5
CRYAA,1,3,2,0,CRYAA
VAC14,2,2,2,0,VAC14
ATP2C1,0,0,0,0,ATP2C1
IL4I1,1,3,1,0,IL4I1
CYB5A,0,0,0,0,CYB5A
NXPE2,2,2,2,0,NXPE2
VCAM1,0,0,0,0,VCAM1
IL1F10,0,0,0,0,IL1F10
SNX24,2,2,2,0,SNX24
IKZF4,0,1,1,0,IKZF4
GPR50,1,2,2,0,GPR50
BEND2,2,2,1,0,BEND2
GET3,2,2,2,0,GET3
H2BC1,3,3,3,0,H2BC1
CXXC1,1,2,2,0,CXXC1
MAEA,2,2,1,0,MAEA
ARMC10,0,0,0,0,ARMC10
CD7,3,2,1,0,CD7
B3GALT5,0,0,0,0,B3GALT5
CKMT2,0,0,0,0,CKMT2
HDC,1,2,1,0,HDC
SSX1,0,0,0,0,SSX1
NDUFB9,2,3,2,0,NDUFB9
SLC52A2,2,2,0,0,SLC52A2
NBEAL2,0,0,0,0,NBEAL2
PRPF4,2,2,2,0,PRPF4
GPR26,2,2,1,0,GPR26
YIF1B,2,2,1,0,YIF1B
EPHX1,2,2,3,0,EPHX1
CD28,2,2,2,0,CD28
AKTIP,0,0,0,0,AKTIP
YIPF1,2,2,2,0,YIPF1
H4C8,0,0,0,0,H4C8
GAB3,1,0,0,0,GAB3
TRAM1,1,1,1,0,TRAM1
SCG3,1,1,0,0,SCG3
PCDHA12,0,0,0,0,PCDHA12
ZNF414,0,0,0,0,ZNF414
CALML3,2,2,0,0,CALML3
SMAD1,2,3,3,0,SMAD1
PLCB2,0,0,0,0,PLCB2
SDHAF4,2,2,2,0,SDHAF4
FAM32A,0,0,0,0,FAM32A
HDDC3,0,2,0,2,HDDC3
GNAZ,1,0,1,0,GNAZ
CCDC40,1,1,0,0,CCDC40
STXBP4,1,1,1,0,STXBP4
MRPL52,1,0,0,0,MRPL52
NPIPB6,2,2,2,0,NPIPB6
CEP162,2,2,2,0,CEP162
TRAT1,3,3,3,0,TRAT1
LYSMD3,0,0,0,0,LYSMD3
TANGO2,0,0,0,0,TANGO2
POLR3D,2,2,2,0,POLR3D
IGFBP7,1,1,1,0,IGFBP7
PGM3,2,0,1,0,PGM3
PRKCSH,2,1,0,0,PRKCSH
P4HB,3,3,3,0,P4HB
RNF123,1,1,1,0,RNF123
SLC35F6,3,3,3,0,SLC35F6
MLANA,0,0,0,0,MLANA
IRF2,1,2,1,0,IRF2
MYO3A,0,0,0,0,MYO3A
ZSCAN16,0,0,1,0,ZSCAN16
DCAF7,0,0,0,0,DCAF7
MPP2,0,0,0,0,MPP2
KNTC1,2,3,3,0,KNTC1
THUMPD2,1,2,1,0,THUMPD2
NDOR1,2,1,2,0,NDOR1
KYNU,0,0,0,0,KYNU
TMEM132D,3,2,2,0,TMEM132D
TM2D2,0,0,0,0,TM2D2
NR2C2AP,0,0,0,0,NR2C2AP
MIA,1,0,0,0,MIA
KAT2B,2,2,1,0,KAT2B
TATDN2,2,2,2,0,TATDN2
H3C8,1,2,1,0,H3C8
EXD3,0,0,0,0,EXD3
NBPF10,0,0,0,0,NBPF10
LTBP2,1,1,1,0,LTBP2
H2AC8,1,1,1,0,H2AC8
NDUFB2,0,0,1,0,NDUFB2
HPN,1,2,2,0,HPN
APOBR,3,3,3,0,APOBR
SMO,2,1,2,0,SMO
BLVRB,1,0,0,0,BLVRB
CT47A1,0,0,0,0,CT47A1
ZNF799,0,0,0,0,ZNF799
SPAG5,1,3,2,0,SPAG5
HSPB7,2,1,2,0,HSPB7
ACVR1,2,1,2,0,ACVR1
ATMIN,0,0,0,0,ATMIN
AIP,0,0,0,0,AIP
PEAK1,1,2,2,0,PEAK1
LIMS2,1,2,2,0,LIMS2
TTLL4,0,1,1,0,TTLL4
SIDT1,2,3,2,0,SIDT1
POLR1E,2,3,2,0,POLR1E
MRPS34,0,0,0,0,MRPS34
NTN4,2,0,0,0,NTN4
CLPSL1,1,2,2,0,CLPSL1
IGDCC4,0,1,0,0,IGDCC4
MYO1A,0,0,0,0,MYO1A
MPEG1,0,0,0,0,MPEG1
KCNA5,3,3,3,0,KCNA5
COX3,1,1,0,0,COX3
TPH1,1,1,0,0,TPH1
KRT2,0,0,0,0,KRT2
PHKG1,0,0,0,0,PHKG1
KRTAP2-1,0,0,0,0,KRTAP2-1
INO80D,0,0,0,0,INO80D
SLC8B1,2,2,2,0,SLC8B1
FAM81B,3,3,3,0,FAM81B
GNPTG,0,0,0,0,GNPTG
PPP4C,3,3,3,0,PPP4C
EEF1AKNMT,1,1,1,0,EEF1AKNMT
UBE2L3,2,2,2,0,UBE2L3
RALGDS,0,1,1,0,RALGDS
INF2,2,2,2,0,INF2
CRY1,1,2,2,0,CRY1
ZNF418,0,0,0,0,ZNF418
NAALAD2,1,1,1,0,NAALAD2
CASP2,0,0,0,0,CASP2
C18orf25,0,0,0,0,C18orf25
ODC1,1,1,2,0,ODC1
MFSD9,1,1,2,0,MFSD9
TAF1,1,0,0,0,TAF1
PPP1R37,0,0,0,0,PPP1R37
CDHR5,2,2,1,0,CDHR5
SMARCA5,2,1,1,0,SMARCA5
DNAJC6,0,0,0,0,DNAJC6
SPAG6,0,0,1,0,SPAG6
WDR44,1,2,1,0,WDR44
UIMC1,2,2,2,0,UIMC1
NUMB,1,0,0,0,NUMB
ECHS1,0,2,2,0,ECHS1
KCNIP3,1,2,0,0,KCNIP3
TRIM28,0,0,0,0,TRIM28
H2AP,0,2,0,0,H2AP
TRIM35,3,2,1,0,TRIM35
CCDC191,1,1,0,0,CCDC191
MAP7D1,2,2,2,0,MAP7D1
SAV1,2,2,2,0,SAV1
LRRN4CL,0,0,0,0,LRRN4CL
GDA,0,0,0,0,GDA
KLK7,2,2,1,0,KLK7
TMEM240,0,0,0,0,TMEM240
JAML,1,0,1,0,JAML
PLEK2,3,3,3,0,PLEK2
POLH,1,1,1,0,POLH
PDK4,0,0,0,0,PDK4
CMTM5,2,2,2,0,CMTM5
SH3GL2,1,2,1,0,SH3GL2
IFRD1,0,0,0,0,IFRD1
FBXO6,1,1,0,0,FBXO6
GLYR1,0,0,0,0,GLYR1
RHOV,3,3,2,0,RHOV
ITGB1,0,2,0,0,ITGB1
RMND1,1,3,0,0,RMND1
RCCD1,1,2,2,0,RCCD1
LAPTM4A,1,2,2,0,LAPTM4A
CHST11,2,2,2,0,CHST11
SNX22,1,0,1,0,SNX22
CD96,2,3,3,0,CD96
DNAH12,1,1,1,0,DNAH12
DOK6,1,0,1,0,DOK6
STRN3,0,1,0,0,STRN3
UQCRC2,0,0,0,0,UQCRC2
ATP5F1C,0,1,1,0,ATP5F1C
SLC37A1,0,0,0,0,SLC37A1
DTWD2,1,1,1,0,DTWD2
PTOV1,2,1,2,0,PTOV1
DDX59,2,3,2,0,DDX59
TMEM161A,2,2,2,0,TMEM161A
INPP5A,1,2,1,0,INPP5A
IL23A,2,2,2,0,IL23A
SMN2,2,2,2,0,SMN2
GRTP1,0,0,0,0,GRTP1
AL645922.1,3,3,3,0,AL645922.1
IRAK3,0,0,0,0,IRAK3
DCK,2,2,2,0,DCK
FGR,0,0,0,0,FGR
MUC4,2,1,1,0,MUC4
DUSP23,2,3,2,0,DUSP23
DRAM2,2,2,2,0,DRAM2
IL11RA,2,2,2,0,IL11RA
BSN,0,1,0,0,BSN
USP8,0,0,0,0,USP8
LNX1,1,3,1,0,LNX1
RFX2,0,0,0,0,RFX2
FAM199X,2,3,3,0,FAM199X
TRIM33,0,0,0,0,TRIM33
COL6A2,3,3,2,0,COL6A2
OPTN,1,3,2,0,OPTN
LCN10,0,0,0,0,LCN10
BAZ1A,0,0,0,0,BAZ1A
ZNF318,3,1,2,0,ZNF318
ALG8,0,0,0,0,ALG8
SMARCA4,0,0,0,0,SMARCA4
SLC26A8,3,2,0,0,SLC26A8
MRPL15,1,1,2,0,MRPL15
MAP11,2,2,2,0,MAP11
FARSA,1,0,0,0,FARSA
DEFB107A,0,0,0,0,DEFB107A
MYL7,0,0,0,0,MYL7
ELMOD3,2,2,2,0,ELMOD3
ST7,3,2,2,0,ST7
PNOC,0,0,0,0,PNOC
HACD2,2,2,3,0,HACD2
FAHD2B,0,0,0,0,FAHD2B
WDFY1,1,2,1,0,WDFY1
BCL7B,2,1,1,0,BCL7B
CENPV,0,0,0,0,CENPV
CALY,2,1,1,0,CALY
EHD4,1,1,1,0,EHD4
PRPF39,0,0,0,0,PRPF39
FCGR2B,2,3,3,0,FCGR2B
TIGAR,2,2,2,0,TIGAR
TOX2,3,3,2,0,TOX2
DUSP9,2,2,2,0,DUSP9
PDLIM5,0,0,0,0,PDLIM5
PSMB4,2,2,2,0,PSMB4
CXorf40B,2,2,3,0,CXorf40B
TTC17,0,0,0,0,TTC17
PBX1,2,2,3,0,PBX1
AL022318.4,1,2,1,0,AL022318.4
PTPN3,0,0,0,0,PTPN3
GKN2,0,0,0,0,GKN2
PRAME,1,1,1,0,PRAME
SMAD2,2,2,3,0,SMAD2
ATXN2,2,2,2,0,ATXN2
TRIP12,1,2,2,0,TRIP12
CYP17A1,0,0,0,0,CYP17A1
SETD5,2,2,2,0,SETD5
MPZ,2,2,2,0,MPZ
PSG9,0,0,0,0,PSG9
VTA1,1,2,2,0,VTA1
RIC8A,2,2,2,0,RIC8A
UNC119,1,0,1,0,UNC119
ETFA,2,2,1,0,ETFA
SIN3A,1,2,2,0,SIN3A
TMUB1,2,2,2,0,TMUB1
LRRC39,1,1,1,0,LRRC39
TARS2,2,2,1,0,TARS2
MSR1,0,0,0,0,MSR1
IMPG2,1,2,2,0,IMPG2
TM7SF2,0,0,0,0,TM7SF2
ECM2,0,0,0,0,ECM2
CFAP45,0,0,0,0,CFAP45
SMCHD1,1,2,1,0,SMCHD1
