,genes,avg_scores
428,RABGAP1L,4.666943765005249
429,EPC1,3.905109545985166
430,PLIN3,4.638591272420988
431,TMEM11,4.327518562820571
432,TRIP10,4.088068838476083
433,SPATA5,4.4571229970995
434,MAGED1,4.792216027203333
435,CCDC86,4.277030665277904
436,ZNF726,3.759944765434666
437,TSHZ3,4.1342205797243325
438,KCNC4,4.910035556535499
439,XIRP2,4.2951794881815
440,THG1L,4.1621599982049995
441,MRPL23,4.327717009401999
442,EOMES,3.935389429158833
443,NCEH1,4.917876307799499
444,DCLK3,4.1315363120974995
445,CLIC3,4.398095922797999
446,ARL8B,4.9318502147645
447,UBE2C,4.309229736439833
448,COMT,4.1721656591375
449,NANOS1,3.779799088471159
450,ANKRD53,3.7070290054185
451,AKT2,4.499734705959392
452,EPHA3,4.424744183864666
453,ASB2,4.390550610838083
454,KIAA1191,4.103502746480333
455,STAT2,4.299123977293988
456,TBXA2R,4.194468378650999
457,MGAT3,5.083288728245999
458,SRSF4,4.523091234958667
459,FANCM,4.294928980541584
460,EPO,3.793999602949
461,HERC6,3.9335018249135
462,SYTL1,3.893728798418916
463,MBOAT2,3.7316172746666667
464,LRRC8B,4.556426436374499
465,SLCO2B1,4.003414071811417
466,ADH1B,3.8421233877655676
467,MEGF10,4.281853732479
468,DDHD1,3.9045509736699167
469,CASC3,4.356269620990833
470,AVPR2,4.304577867546833
471,LGALS4,3.8393217373539996
472,BAG6,5.147316624255
473,KCMF1,4.1432426592845
474,HNRNPM,4.765916501986332
475,UBE2V1,4.6008098599905
476,VPS13D,4.630800704711833
477,DOCK1,4.559749431535333
478,NT5C1A,4.37392965185
479,SCARA5,3.8353970483181774
480,DPY19L4,4.095285399824166
481,RABGGTB,4.086286123764345
482,CRB1,4.589567818383427
483,MRPL21,4.264696453869785
484,GPR156,4.082885757726666
485,DRAP1,4.247665879881404
486,SPR,4.226857903052
487,NPHS1,4.397524952477916
488,DPP6,5.135047763109249
489,HES1,4.207959177017166
490,TP53BP1,4.39035995337975
491,ATAD5,4.031423445772249
492,KBTBD13,4.119482388627453
493,ILF3,4.646861143055888
494,ANO2,3.649498489485666
495,ZNF417,4.10186290939075
496,KIAA1109,4.668688563393749
497,TMSB4X,4.409562874799666
498,SLC25A43,4.190461657203
499,DLX1,4.147153945735999
500,TSNARE1,3.812173264774666
501,GTF2IRD2B,3.5923353571997496
502,DNAJC7,4.849360493424166
503,SPIRE2,4.110876071620333
504,MPV17L2,3.934220359322749
505,CCND3,4.431541448468416
506,DNAAF1,3.7797489001898095
507,ABCB11,3.9386829885577495
508,SNN,4.735411886831332
509,GLRX2,4.227851319124417
510,KBTBD8,4.169970716645749
511,SLC4A7,4.4786477457895835
512,ZNF397,3.6795821015859165
513,KDF1,4.161059585630833
514,ZNF25,4.671752359433499
515,COLGALT1,4.131335905872985
516,HS3ST1,4.205873070042535
517,PLEKHA8,3.8969005110244996
518,LDHAL6B,3.725426860589587
519,LAMTOR2,4.085045732842333
520,PRPF40A,4.42283650632711
521,SEMA4B,3.8170871918049993
522,SGK2,4.110411620069999
523,FHL2,4.4713903056756665
