,Gene1,Gene2,ytest,ypredict
91,ANK2,CACNG3,8.184424,5.506302855699999
92,ANK2,CCDC40,5.141356,3.9398332583000006
93,ANK2,CCNJ,4.902389,4.225015961400001
94,ANK2,CENPM,2.6906297,4.081717239
95,ANK2,CNOT7,3.3107010000000003,4.1977102944
96,ANK2,CNTNAP1,11.421464,6.843168749
97,ANK2,CSPG5,5.897901999999999,5.397745309199998
98,ANK2,CSTB,3.1851077,5.003860612999998
99,ANK2,CTNND2,7.321928,5.7400828237
100,ANK2,DCAF5,1.0565474,3.6143571199999993
101,ANK2,DNM2,9.643856,4.5468183028
102,ANK2,EML2,4.355375,4.280092534800001
103,ANK2,ESYT1,2.775548,4.317259510099999
104,ANK2,EXOC4,5.6857866999999995,4.765731234699999
105,ANK2,FAM53B,3.5493386,4.0080231256999985
106,ANK2,FKBP8,3.6049373,4.865288312800001
107,ANK2,GPT2,3.6049373,4.395930617000001
108,ANK2,GRIA4,6.836500999999999,5.767950130099998
109,ANK2,GRIN2B,7.1307864,5.882519677599999
110,ANK2,GRM5,6.4806256,6.241251551999999
111,ANK2,GSK3B,6.4806256,5.933936349699999
112,ANK2,GTF2H1,3.3107010000000003,5.520435235799999
113,ANK2,HOXB6,3.3630855000000004,4.822572676
114,ANK2,HRAS,5.9434166,4.869908589
115,ANK2,HSPA8,6.4150376,6.823891700999996
116,ANK2,ITGB3BP,2.6906297,3.694194521133336
117,ANK2,KCNMA1,6.9159355,4.901764372399999
118,ANK2,KIF20A,4.902389,4.2019685870000005
119,ANK2,LNX1,2.6906297,5.370022711999996
120,ANK2,MRTO4,2.6906297,4.2058773049000004
121,ANK2,MYBBP1A,3.3107010000000003,4.841446341399999
122,ANK2,NRXN1,5.5008984000000005,6.5263407519999985
123,ANK2,NSD1,3.3107010000000003,3.8585756800999995
124,ANK2,NTRK2,7.2863039999999994,5.245182266999995
125,ANK2,PACSIN1,7.6742296,6.240012476399999
126,ANK2,PFN1,6.794190400000001,5.746280599000001
