,Genes,gene_length,pFAM_domain_number
499,RPL3,7507.0,1
500,RPL7,5547.0,2
501,SLC8A2,43876.0,3
502,HSPA5,6490.0,1
503,RPS5,8406.0,1
504,AMIGO1,5560.0,2
505,FAT3,544374.0,3
506,CNTNAP2,2051389.8090452258,2
507,RET,53282.0,5
508,FAM50B,1947.0,1
509,KCNS2,5826.0,2
510,NCAM2,544920.0,3
511,DVL1,14142.0,5
512,JUP,32327.0,1
513,UBASH3B,158751.0,3
514,MAP2K4,123001.0,1
515,KRT222,10516.0,1
516,RASD2,13168.0,1
517,COPS7A,7861.0,2
518,ARF4,26857.0,1
519,TUBG2,7722.0,2
520,MED29,9334.0,1
521,PTPRN,20025.0,3
522,WBP2,10808.0,1
523,DOCK4,480301.0,3
524,NPM2,12772.0,1
525,NPAS3,869243.0,2
526,CNTN4,959146.0,3
527,RPS20,7286.0,1
528,DRP2,44728.0,5
529,STIP1,19271.0,6
530,AGAP1,637757.0,4
531,CCT2,16144.0,1
532,SYNE1,516117.0,3
533,BCAS2,14072.0,1
534,TSC1,55526.0,1
535,CLSTN3,29247.0,1
536,RPS3A,5018.0,1
537,INSM2,2890.0,1
538,SIRT1,33734.0,1
539,NDRG2,54109.0,1
540,GLS,84725.0,3
541,UCHL1,12042.0,1
542,MACF1,405861.0,8
543,CRY2,36130.0,2
544,CACNA1B,246842.0,3
545,HDAC2,78280.0,1
546,PTPRK,553956.1523178808,4
547,NUDCD3,111539.0,2
548,NCALD,438365.0,4
549,ATP6V1E1,36613.0,1
550,PCDHA1,226211.0,3
551,PRPF19,16038.0,3
552,NDUFB8,6260.0,1
553,ATP6AP1,7871.0,1
554,STOM,31316.0,1
555,NETO1,125832.0,2
556,MAPRE3,56584.0,2
557,RBX1,21962.0,1
558,GDI1,6554.0,1
559,VIM,9352.0,2
560,CDH12,1102949.0,2
561,PPID,14269.0,2
562,ABCC8,84381.0,2
563,GNAS,71474.0,2
564,NBEA,730735.0,6
565,RAB11B,14453.0,1
566,TUBB2A,3878.0,2
567,PRKACB,160436.0,1
568,SBF1,30035.0,6
569,RALYL,739057.0,1
570,PTPRD,2300884.5,4
571,HK1,131900.0,2
572,DDX39B,14646.764925373134,2
573,CALM3,9708.0,2
574,SERINC1,28456.0,1
575,BCAP31,24254.0,2
576,DNAJC6,167652.0,2
577,ROBO2,1743269.0,3
578,SNRPD2,5115.0,1
579,MUC13,48377.0,1
580,HCN2,27278.0,3
581,CDC25C,53090.0,2
582,MAGI1,685309.0,5
583,SUMO1,32428.0,1
584,PAX6,33182.0,2
585,DPYSL4,18811.0,1
586,CDKN1B,7311.0,1
587,HYOU1,13039.0,1
588,AFG3L2,48370.0,4
589,FOXG1,9947.0,1
590,GPR22,5666.5,1
591,GNG3,1525.0,1
592,RAB1B,8902.0,1
593,ANP32E,17739.0,2
594,KCNK1,58508.0,1
595,DIRAS1,6805.0,1
596,GDI2,76909.0,1
597,DOCK3,709271.0,3
598,NAV3,888369.0,2
599,PCDH15,1825171.0,2
600,TTK,38640.0,1
601,RAF1,80625.0,3
602,XRN2,86494.0,2
603,PCBP1,1749.0,1
604,KCNH1,457342.0,3
605,HNRNPAB,6630.0,2
606,SGCZ,1153586.0,1
607,PIK3R2,17369.0,3
608,NOTCH2,189226.0,9
609,AP3B2,50876.0,2
610,CDK1,16521.0,1
611,KBTBD7,4733.0,3
612,TOP2A,29371.0,6
613,DTNB,296449.0,3
614,FABP7,4358.0,1
615,PAFAH1B1,92405.0,2
616,KANK2,33524.0,4
617,GRIN1,29602.0,4
618,CCDC106,12099.0,1
619,ITGB1,105474.0,6
620,SLC25A5,2974.0,1
621,AGO1,60724.0,6
622,CNTN5,1337936.0,3
623,RPL13,6171.0,1
624,LMNA,57516.0,2
625,EXTL1,16580.0,2
626,SLC25A6,5961.0,1
627,FBXO41,29749.0,1
628,EPB41L2,223975.0,6
629,LSAMP,1337026.0,2
630,EPHA2,31732.0,5
631,ARNT2,193583.0,3
632,RNF11,37174.0,1
633,SYT4,9643.0,1
634,ADAM11,22858.0,5
635,ABCF1,25801.998514115898,2
636,PCDH10,59312.0,3
637,RPL29,2420.0,1
638,SUPT16H,32543.0,4
639,FBXO44,8952.0,2
640,TUBA1B,3615.0,2
641,ZC3HAV1,66205.0,4
642,KIAA0319,102087.0,1
643,PIK3C2A,130253.0,6
644,ARFGEF2,114982.0,4
645,PTPRR,282665.0,1
646,PAK1,152928.0,2
647,BASP1,211245.0,1
648,GNAI3,69709.0,1
649,ATP6V0A1,63767.0,1
650,DGKQ,28008.0,4
651,CSNK2A1,71337.0,2
652,ASIC2,1161877.0,1
653,ESR1,472928.0,4
654,SPIN1,90264.0,1
655,RPL11,5093.0,2
656,PRKDC,187075.0,4
657,PRKCI,83553.0,4
658,GALNT9,133217.0,2
659,KIAA0513,66479.0,1
660,MYRIP,451407.0,2
661,YBX1,21387.0,1
662,EIF4B,36051.0,1
663,PCNA,11673.0,2
664,EIF4A2,6692.0,2
665,JPH3,96321.0,1
666,PPP1R16B,117327.0,1
667,FBXL15,3947.0,2
668,BRMS1L,105987.0,1
669,FER,449000.0,3
670,MTOR,155972.0,5
671,SACS,104914.0,2
672,RASGEF1A,72384.0,2
673,SHANK3,58780.8064516129,4
674,RAP1GAP2,282036.0,1
675,TP53,25771.0,4
676,BARD1,84037.0,3
677,KAT2B,113958.0,3
678,TRIM2,186975.0,4
679,AP2M1,9402.0,2
680,SH3GL2,218058.0,2
681,RPLP0,4536.0,3
682,CALR,5911.0,1
683,DMD,2241764.0,6
684,LANCL1,46403.0,1
685,IMPDH2,5083.0,2
686,NCS1,64899.0,2
687,DTNBP1,140257.0,1
688,GABRB2,260615.0,2
689,TUFM,3937.0,3
690,PPP1R9A,389213.0,3
691,TRIP13,26473.0,1
692,GOSR2,52449.0,1
693,ARHGAP21,140278.0,3
694,TAB1,37282.0,1
695,AHNAK,122693.0,1
696,RPLP2,2915.0,1
697,SYN3,545820.0,3
698,KCNH7,467323.0,3
699,VCAM1,19303.0,4
700,ARHGEF9,174307.0,3
701,SLC25A23,29124.0,3
702,PTBP3,115951.0,3
703,KCND3,218493.0,4
704,ATP8A2,653877.0,4
705,CACNG2,139637.0,1
706,MOAP1,2728.0,1
707,VBP1,42810.0,1
708,CFL1,39004.0,1
709,PRKCD,36708.0,3
710,CEND1,2998.0,1
711,CD99L2,132480.0,1
712,HSD17B4,184726.0,4
713,ANKS1B,1258197.0,4
714,PTK2B,147909.0,4
715,WDR82,33586.0,1
716,KCTD2,33314.0,1
717,ARHGEF7,191178.0,9
718,VAMP1,8750.0,1
719,RBMX,32760.0,2
720,TPM4,35981.0,2
721,RPS17,3758.40625,1
722,NRSN2,12878.0,1
723,FLNB,163851.0,2
724,ARHGAP44,202145.0,2
725,CACNA1S,72939.0,3
726,FKBP4,10453.0,3
727,DNM1L,66450.0,3
728,MTPN,50599.0,1
729,ZNF554,15899.0,2
730,HNRNPA2B1,28472.0,1
731,TRIM37,124283.0,3
732,GART,34655.394736842114,6
733,CHN2,367759.0,3
734,KALRN,646302.0,8
735,UBA1,24267.0,5
736,MYO18A,109288.0,3
737,WWOX,1113237.0,2
738,CPNE7,21488.0,2
739,TNK2,45644.0,4
740,XRCC6,42929.0,4
741,HDAC5,46956.0,2
742,FXR2,23641.0,6
743,PCDHGC3,37030.0,4
744,CAPRIN1,50879.0,2
745,PABPC1,36993.0,2
746,CELF2,538278.0,1
747,PIGN,281863.0,3
748,PPP3CB,59596.0,1
749,HDLBP,89797.0,1
750,ELK1,15083.0,1
751,PFDN4,19965.0,1
752,DPYSL2,144147.0,1
753,KIF1A,107275.0,6
754,UBQLN2,4229.0,3
755,TXN,12697.0,1
756,EPB41L1,141295.0,6
757,TERF2IP,114099.0,3
758,RPA2,23222.0,1
759,SOD1,9309.0,1
760,SCRN1,70185.0,1
761,DLG4,32672.0,5
762,PPP1CA,23000.0,2
763,SERPINB7,52441.0,1
764,TTC7B,291915.0,3
765,TUBB4B,2420.0,2
766,JAKMIP2,197337.0,1
767,MAP2K1,105495.0,1
768,RALA,84555.0,1
769,ARF6,3972.0,1
770,HAS1,10882.0,2
771,RPS11,3343.0,2
772,CLASP2,222111.0,1
773,TPR,64041.0,1
774,MMP16,296014.0,4
775,LIMK1,39592.0,3
776,ALK,728812.0,3
777,MCM6,36817.0,5
778,CDH22,134765.0,2
779,PTPN11,91562.0,2
780,TMCC2,57686.0,1
781,TAGLN3,15148.0,2
782,CUL1,103196.0,2
783,DDX21,28898.0,3
784,RAB26,13362.0,1
785,ABLIM1,336948.0,3
786,NRN1,9606.0,1
787,TMOD3,117667.0,1
788,ERBB3,26706.0,4
789,KCNJ3,160499.0,2
790,GPRASP2,5557.0,1
791,SIRPA,46425.0,2
792,TMEM132A,12696.0,3
793,KIFC2,8159.0,1
794,PRMT1,13243.0,2
795,LRRC59,22464.0,1
796,TP53BP2,66061.0,2
797,ATP2B4,117520.0,6
798,CACNA1I,118984.0,1
799,CLN3,21464.0,1
800,DYNC1I1,337816.0,2
801,ARPC2,37215.0,1
802,SHANK1,57623.0,4
803,TUBB3,17369.0,2
804,TSC2,41524.0,3
805,CACNG7,34606.0,1
806,EIF4A3,12782.0,2
807,KCNIP4,1177950.5753424657,2
808,CACNA1G,66759.0,1
809,LRP2,235425.0,5
810,EIF4G1,20863.0,3
811,MARK2,72091.0,3
812,RPS13,3327.0,2
813,TPRG1L,5112.0,1
814,TERF2,53004.0,3
815,HSD17B10,3115.0,1
816,DDX41,5384.0,2
817,KCNN1,48787.0,3
818,B3GNT4,5271.0,1
819,DDX6,43401.0,2
820,ATP6V1H,128015.0,2
821,KLHL2,115595.0,3
822,LASP1,51911.0,3
823,MCM3,20872.0,4
824,RUNDC3A,10257.0,1
825,CDK5R1,4260.0,1
826,IDS,44108.0,1
827,TECR,48895.0,1
828,SCN8A,222598.0,4
829,KIR3DL1,15877.200698080282,1
830,HIVEP2,205229.0,1
831,APBB1,24290.0,2
832,RPL13A,4754.0,1
833,ZC3H15,23108.0,2
834,DYNLRB1,24549.0,1
835,SBF2,515540.0,6
836,RAC1,29440.0,1
837,TRPM3,917841.0,3
838,GPR162,8348.0,1
839,AXIN1,65283.0,4
840,RPS27,1393.0,1
841,PHGDH,95815.0,2
842,JPH4,10755.0,1
843,GPR37L1,10675.0,1
844,DGKG,256566.0,4
845,NACC1,24285.0,2
846,CMAS,19456.0,1
847,GNAZ,54513.0,1
848,TPPP,33490.0,1
849,SBNO1,75738.0,2
850,ITCH,177507.0,3
851,EPN2,121100.0,1
852,SNCB,10474.0,1
853,NDUFS1,44692.0,4
854,FOXP1,631176.0,2
855,NKRF,18106.0,2
856,SH3KBP1,353623.0,1
857,NCKIPSD,12520.0,2
858,RAB2A,106708.0,1
859,XPO1,60777.0,6
860,RPA1,70380.0,4
861,PJA2,75261.0,1
862,CCHCR1,15788.459926017264,1
863,ACTA2,56265.0,1
864,MAP4,238582.0,1
865,DHX15,67113.0,4
866,DDHD2,50340.0,3
867,UTRN,567333.0,6
868,SLC12A5,38462.0,2
869,ANXA6,57079.0,1
870,JAKMIP1,174388.0,1
871,ST8SIA3,19174.0,1
872,GABARAPL2,11506.0,1
873,SMARCE1,23692.0,1
874,MAPK8IP1,20814.0,2
875,RPS9,39962.76158940397,2
876,RLBP1,11745.0,2
877,MAPRE1,30451.0,2
878,SMARCA2,213334.0,7
879,CTNNA1,324067.0,1
880,HNRNPH1,17930.100278551534,2
881,HSPH1,27414.0,1
882,RAB6B,71647.0,1
883,PRKAR1B,178453.0,2
884,SLC25A4,7116.0,1
885,PSMA7,6707.0,2
886,RAB40AL,1028.0,2
887,KIF21A,150162.0,2
888,PI4KA,151726.0,2
889,RASGRP1,77472.0,4
890,ARPC5L,15603.0,1
891,RPL19,4449.0,1
892,CAMKV,11947.0,1
893,NONO,17976.0,2
894,NR3C1,157581.0,3
895,SRGAP3,382462.0,3
896,NMNAT2,170143.0,1
897,CDKN1A,10879.0,1
898,DDB1,43145.0,2
899,ACTA1,2853.0,1
900,TPD52,196487.0,1
901,ITPR1,354495.0,5
902,TGOLN2,10276.0,1
903,FAM98B,33583.0,1
904,PGM2L1,68117.0,4
905,FGF13,608050.0,1
906,RPL4,26517.0,2
907,RPS16,2812.0,1
908,VPS53,213049.0,1
909,HMGB2,3430.0,2
910,CADPS2,568348.0,2
911,CAPZA1,51811.0,1
912,IPO13,21072.0,5
913,YWHAB,22830.0,1
914,DTNA,398554.0,3
915,REEP5,45904.0,1
916,MBP,154856.0,1
917,GABRA6,155530.0,2
918,BRCA2,85180.0,5
919,GLRA2,202514.0,2
920,NEGR1,886596.0,2
921,DCTN2,17229.0,1
922,PAX3,99108.0,3
923,SPRN,3906.0,1
924,TJP1,216820.3035019455,4
925,HECW2,404585.0,5
