cat_preactivezone,QDPR
cat_preactivezone,UCHL1
cat_preactivezone,ANXA5
cat_preactivezone,GPM6A
cat_preactivezone,SLC25A4
cat_preactivezone,BASP1
cat_preactivezone,SLC1A3
cat_preactivezone,RAB3C
cat_preactivezone,SV2C
cat_preactivezone,UQCRQ
cat_preactivezone,VDAC1
cat_preactivezone,CAMK2A
cat_preactivezone,ANXA6
cat_preactivezone,SFXN1
cat_preactivezone,CPLX2
cat_preactivezone,TUBB2A
cat_preactivezone,TUBB2B
cat_preactivezone,PGK2
cat_preactivezone,ACTB
cat_preactivezone,RAC1
cat_preactivezone,GBAS
cat_preactivezone,STX1A
cat_preactivezone,GNAI1
cat_preactivezone,CACNA2D1
cat_preactivezone,PCLO
cat_preactivezone,HEPACAM2
cat_preactivezone,GNB2
cat_preactivezone,PLXNA4
cat_preactivezone,ATP6V1B2
cat_preactivezone,NEFL
cat_preactivezone,VDAC3
cat_preactivezone,RAB2A
cat_preactivezone,PDP1
cat_preactivezone,YWHAZ
cat_preactivezone,ATP6V1C1
cat_preactivezone,TMEM65
cat_preactivezone,LY6H
cat_preactivezone,PLEC
cat_preactivezone,CYC1
cat_preactivezone,SLC1A1
cat_preactivezone,GNAQ
cat_preactivezone,RAB14
cat_preactivezone,HSPA5
cat_preactivezone,STXBP1
cat_preactivezone,DNM1
cat_preactivezone,SPTAN1
cat_preactivezone,TUBB2C
cat_preactivezone,ATP5C1
cat_preactivezone,CHAT
cat_preactivezone,CISD1
cat_preactivezone,HK1
cat_preactivezone,VDAC2
cat_preactivezone,LGI1
cat_preactivezone,PGAM1
cat_preactivezone,GOT1
cat_preactivezone,INA
cat_preactivezone,HRAS
cat_preactivezone,CD81
cat_preactivezone,SLC1A2
cat_preactivezone,SLC3A2
cat_preactivezone,RTN3
cat_preactivezone,RAB1B
cat_preactivezone,GSTP1
cat_preactivezone,NDUFV1
cat_preactivezone,NCAM1
cat_preactivezone,FXYD2
cat_preactivezone,FXYD6
cat_preactivezone,ATP5L
cat_preactivezone,THY1
cat_preactivezone,HSPA8
cat_preactivezone,NTM
cat_preactivezone,NDUFA9
